	Sample_1	Sample_2
LMAN2L	3.072229716	3.009425065
LMBR1	2.045507651	2.028640236
LMBR1L	2.970894412	2.754040469
LMBRD1	2.301857754	2.930873476
LMBRD2	1.790446819	1.819982789
LMCD1	2.273608335	0.994967072
LMCD1-AS1	0.094491411	0
LMF1	2.457285049	1.518211484
LMF1-AS1	1.225995594	0.652028953
LMF2	4.994736843	4.400044867
LMLN	1.062319331	1.277271006
LMLN-AS1	0.415124816	1.068320438
LMNA	5.329692546	4.563922983
LMNB1	3.080314272	3.747374446
LMNB2	3.853612168	3.501424428
LMNTD2	1.664398301	1.414322922
LMNTD2-AS1	1.482177368	0.168502654
LMO2	2.611216073	2.483413559
LMO3	1.317102137	0.01468137
LMO4	3.85164281	2.931953571
LMO7	2.329149429	2.013120111
LMO7-AS1	2.542639004	2.131506281
LMOD1	6.362870844	1.418832546
LMOD3	0.325030134	0.299531042
LMTK2	1.940608732	2.231139072
LMTK3	2.264733503	1.116077067
LNC-LBCS	0.131991453	0.176006068
LNCOC1	2.67906507	1.921734511
LNCTAM34A	1.433040578	1.306870579
LNP1	1.879255046	0.806106624
LNPEP	2.555661115	2.758541371
LNPK	2.155454793	2.790918352
LNX1	2.087720297	2.114548382
LNX2	1.845105276	2.453570893
LONP1	4.170762482	4.279030205
LONP2	3.184666178	3.179587946
LONRF1	1.545062409	1.997976918
LONRF2	1.452707468	0.038395087
LONRF3	0.622023294	2.078417757
LOX	2.789644602	4.043301395
LOXL1	4.719838555	2.466253904
LOXL1-AS1	3.304889568	1.281353184
LOXL2	3.30620863	3.169194266
LOXL3	2.633998359	2.68891291
LOXL4	3.082735237	1.694052871
LPA	0.213765052	0
LPAL2	0.867129489	0.117423622
LPAR1	2.311897384	2.303406522
LPAR2	2.311868436	3.114852685
LPAR3	1.629504045	0.040982963
LPAR5	1.299409807	1.879756104
LPAR6	3.540001401	2.867611845
LPCAT1	1.63606327	2.774618458
LPCAT2	2.636023809	2.73624183
LPCAT3	3.585239427	3.59190307
LPCAT4	2.950746935	2.987937656
LPGAT1	2.784877653	3.168404949
LPIN1	2.166091952	1.553718927
LPIN2	2.678829445	2.64767956
LPIN3	3.098035825	2.327794426
LPL	0.66534717	4.283727745
LPO	0.297750656	0.950363246
LPP	4.139675183	2.261094882
LPP-AS2	1.497718163	0.685862538
LPXN	2.720480932	4.419900216
LRAT	0	0
LRATD1	2.096153457	5.118624683
LRATD2	2.175482124	2.693016649
LRBA	1.634624596	2.454225378
LRCH1	2.680217269	2.283782045
LRCH2	2.44246545	0.26133294
LRCH3	2.338626802	2.074912931
LRCH4	1.271647988	1.976119417
LRFN1	1.802548626	1.488520137
LRFN2	0.234625844	0
LRFN3	2.7215296	2.185510206
LRFN4	4.425735558	3.504041502
LRFN5	0.50256175	1.47134154
LRG1	2.094570154	2.002208679
LRGUK	0.255085846	0.220415978
LRIF1	2.157007014	2.896321164
LRIG1	2.878620393	0.697218222
LRIG2	1.514182513	1.395637925
LRIG3	2.526663199	1.434542856
LRIT3	0.398130286	0
LRMDA	1.315821195	1.219180852
LRP1	4.016697537	4.56656962
LRP1-AS	1.501876861	1.880006347
LRP10	4.442011108	4.138058035
LRP11	1.125793056	1.897708213
LRP12	1.493904361	2.524226943
LRP1B	0.057970062	0.793893267
LRP2	0.066958474	0
LRP2BP	0.774539705	0.336638972
LRP3	4.095685804	2.193784521
LRP4	0.995327961	1.02083856
LRP4-AS1	0.157140051	0.733832125
LRP5	4.271760701	3.337013403
LRP5L	1.416803403	1.286352693
LRP6	0.950461226	1.144200761
LRP8	1.269615099	1.101325666
LRPAP1	3.665391085	3.765018376
LRPPRC	2.132124406	2.431808671
LRR1	2.23910948	2.459561393
LRRC1	2.461859095	2.563610184
LRRC10B	0.88082351	0.178562241
LRRC14	3.510395601	2.945819783
LRRC17	1.536900054	0.190045784
LRRC20	2.263509742	1.739208156
LRRC23	2.165802697	1.670290042
LRRC24	4.223462975	3.68141718
LRRC25	1.260749205	3.981550468
LRRC27	1.255622465	0.870967264
LRRC28	1.826925358	1.567408507
LRRC3	1.824691728	1.963550546
LRRC32	3.527989097	2.605652821
LRRC34	1.859136076	1.132310942
LRRC37A	0.653177002	0.622725933
LRRC37A16P	2.647744547	3.03748603
LRRC37A17P	1.05389494	0.628402462
LRRC37A2	0.456112404	0.718320665
LRRC37A3	1.366936998	0.278733823
LRRC37A4P	0.442801996	0.336697905
LRRC37A6P	0.385953712	0
LRRC37B	1.626298893	1.14523392
LRRC37BP1	1.923335114	1.622632239
LRRC39	2.684478407	1.915788765
LRRC4	0.225831841	0.211214215
LRRC40	2.703362909	2.819330488
LRRC41	3.313603956	3.50922032
LRRC42	3.544924959	3.307536808
LRRC43	0.836965786	0.052044175
LRRC45	3.354584415	2.61340082
LRRC46	1.216213314	0.520085565
LRRC47	3.658205548	3.479053208
LRRC49	1.347285776	0.436812252
LRRC4B	3.022406697	0.155745647
LRRC4C	1.902369656	0.19962956
LRRC56	0.7931638	0.278387026
LRRC57	1.335339889	1.654332984
LRRC58	2.704583668	2.828336854
LRRC59	4.044548886	3.928915697
LRRC61	2.595247013	2.639320323
LRRC66	0.700270779	0
LRRC69	1.131075054	0.394776166
LRRC7	0.118068773	0.062044453
LRRC70	0.608728347	0
LRRC73	0.617716697	1.128918229
LRRC75A	4.145711403	3.685195861
LRRC75B	3.244684231	1.326170946
LRRC8A	4.251741413	2.937174496
LRRC8B	0.795016743	2.441097727
LRRC8C	1.697497164	2.095416445
LRRC8C-DT	0.608906995	1.017571542
LRRC8D	2.062908301	2.837147585
LRRC8D-DT	0	0.994269248
LRRC8E	0.895900039	2.196781734
LRRCC1	2.007019093	2.043103016
LRRFIP1	3.620163012	3.546328652
LRRFIP1P1	0	0.284660397
LRRFIP2	3.252226578	2.155947301
LRRIQ1	0.251114223	0.238363925
LRRIQ3	0.161372854	0.049423744
LRRIQ4	0.689251829	0
LRRK1	1.931462716	1.870073709
LRRK2	1.163705086	1.378054587
LRRN1	0.98486259	0
LRRN2	1.47804508	0.23123773
LRRN3	1.150305913	0.236826845
LRRN4CL	3.1599118	1.078191545
LRSAM1	2.484963709	2.173023454
LRTOMT	2.848627485	1.758574511
LRWD1	2.761374317	1.823070107
LSAMP	0.912785734	0.558374314
LSG1	2.511840896	2.637031372
LSM1	4.206857212	3.589510415
LSM10	4.320947811	3.791369681
LSM11	1.991678562	1.551118048
LSM12	2.560991731	2.87683702
LSM14A	3.246725958	3.453971558
LSM14B	3.28715824	3.275261984
LSM2	3.576904524	3.335729213
LSM3	3.418267205	3.003545273
LSM4	4.244539928	4.304852817
LSM5	2.897976981	2.436143635
LSM6	1.845657701	1.87298541
LSM7	4.607663145	3.773977079
LSM8	1.899066932	1.841690894
LSMEM2	3.812099295	2.202344724
LSP1	2.341038064	5.354391286
LSP1P4	0.548030863	1.076903183
LSR	3.918071306	4.277659769
LSS	1.681448107	2.198499484
LST1	1.604160562	2.822792602
LTA4H	3.068391209	3.725029862
LTB	1.451704619	1.885461844
LTB4R	0.723602929	0.467715612
LTBP1	5.555277783	2.59532976
LTBP2	4.626754044	2.330994413
LTBP3	5.591782286	3.304894103
LTBP4	4.926660299	3.426464023
LTBR	4.353069786	3.855887533
LTC4S	2.694910127	2.781307239
LTF	2.250732329	0.071545572
LTK	0.651658227	1.052372509
LTN1	2.103569711	2.31414128
LTO1	4.061734487	3.575895423
LTV1	3.16976826	2.562993959
LUC7L	3.601459183	2.755592198
LUC7L2	2.682542874	2.423187852
LUC7L3	4.130704369	3.446801415
LUCAT1	0.133803415	1.690509684
LUM	5.317007377	5.220248788
LURAP1	2.604110298	1.015257765
LURAP1L	2.805139826	2.011375007
LUZP1	2.253251291	2.400825099
LUZP2	0.090255676	2.817272466
LXN	3.861689602	3.440862459
LY6D	4.664346766	5.272709282
LY6E	4.279480761	5.450965292
LY6E-DT	1.18786233	0.454818557
LY6G5C	0.724677264	0.582296178
LY6K	3.235443182	2.58866346
LY75	1.427297315	1.964604969
LY86	2.351853884	4.345298074
LY9	0.168494255	1.315215982
LY96	3.175964902	4.435062376
LYAR	3.314520791	2.894712037
LYG1	1.099548763	1.29630622
LYL1	2.584006534	2.806761293
LYN	1.772658416	3.587889666
LYNX1	3.591592162	1.147485807
LYNX1-SLURP2	1.101000409	0.202230985
LYPD1	1.70853333	0.597675647
LYPD3	2.846216851	3.947155062
LYPD5	0.579429552	1.306330006
LYPD6	0.514602526	2.012847949
LYPD6B	1.539967586	2.3621499
LYPLA1	3.027060064	3.586472717
LYPLA2	4.324374154	4.575787795
LYPLAL1	3.029020451	2.384938882
LYPLAL1-DT	0.660472861	0.37573814
LYRM1	2.816498196	2.409463494
LYRM2	2.728260882	2.429268562
LYRM4	2.885359064	2.160697379
LYRM7	2.219925508	1.958581427
LYRM9	1.89856711	1.314278238
LYSMD1	2.275137449	2.103618915
LYSMD2	2.900810273	3.129620668
LYSMD3	2.572810541	2.658152881
LYSMD4	3.032689437	2.271970335
LYST	1.505184032	1.684428433
LYVE1	1.594829542	1.539301527
LYZ	3.859212264	7.53785257
LZIC	2.809854167	2.853010569
LZTFL1	2.023245955	1.765873189
LZTR1	2.501965544	1.600796919
LZTS1	2.510817577	1.04403396
LZTS2	4.505340268	3.64789913
LZTS3	2.202870472	1.436553693
M1AP	0.853553288	0.984509176
M6PR	3.051575562	4.700247838
MAB21L1	0.046948611	0.18562104
MAB21L3	0	0
MAB21L4	1.96532341	0.913969992
MACC1	0.98451152	1.483302077
MACF1	3.084766704	2.516685058
MACIR	1.411339129	1.882178693
MACO1	2.725463246	2.663502718
MACROD1	3.557148474	2.984321793
MACROD2	0.397489619	0.836105701
MACROH2A1	3.282109623	4.150243063
MACROH2A2	1.852793363	1.697646729
MAD1L1	0.131333422	0.531732841
MAD2L1	1.973043188	2.365805145
MAD2L1BP	2.950202908	3.093415973
MAD2L2	2.921953395	2.780733416
MADCAM1	0.413183924	0.308826003
MADCAM1-AS1	4.012805372	3.011479249
MADD	2.589098397	3.330314364
MAEA	2.908901552	2.714579434
MAF	2.591716314	3.599827499
MAF1	5.436080863	4.699086603
MAFB	3.022598952	5.498751115
MAFF	2.699179503	2.732298746
MAFG	2.913837948	3.153184951
MAFK	3.888208133	3.432349768
MAGEA11	0	0
MAGEA3	0	4.061614869
MAGEA4	0	1.360225657
MAGEA4-AS1	0	0.382175832
MAGEA6	0	3.944656653
MAGEA9B	0	0
MAGED1	4.238396141	3.572039857
MAGED2	5.188262085	4.107818208
MAGEE1	1.584466751	1.149945801
MAGEF1	4.771933867	2.796835016
MAGEH1	3.864419188	2.440441892
MAGI1	1.975850203	0.925779571
MAGI2	1.174676865	0.038372122
MAGI2-AS3	1.884514895	0.426820929
MAGI3	1.47725499	1.076334886
MAGIX	1.224605631	0.930259136
MAGOH	4.410793838	3.352238205
MAGOHB	2.050528355	1.922611276
MAGT1	2.83968908	3.861127267
MAILR	1.10088228	0.376795723
MAIP1	2.909348698	2.791331899
MAK	0.566251728	0.452548288
MAK16	2.839339387	2.455503608
MAL	0.851684969	3.121703709
MAL2	3.98544591	5.053874127
MAL2-AS1	2.758353952	3.803060985
MALAT1	5.196077496	4.24962572
MALINC1	0.627730995	0.623102749
MALL	1.105316984	0.516857429
MALSU1	2.543226761	2.338429456
MALT1	1.738640758	2.19848839
MALT1-AS1	0	1.514747627
MAMDC2	2.923199046	0.079211421
MAMDC4	2.080738801	1.747853445
MAML1	1.969841941	1.546246472
MAML2	1.822471233	2.142034605
MAML3	1.742771099	1.959642655
MAMLD1	1.795428387	1.112580801
MAMSTR	1.812213664	0.537549106
MAN1A1	3.382898886	4.531377818
MAN1A2	2.826238279	2.845201233
MAN1B1	2.795101638	3.052230264
MAN1B1-DT	1.918426981	1.533623408
MAN1C1	2.959932974	1.661870349
MAN2A1	2.248686829	2.803984954
MAN2A2	2.72393861	2.86739525
MAN2B1	3.168951328	4.821068105
MAN2B2	3.077468255	3.257825273
MAN2C1	3.702620284	3.211517427
MANBA	2.020621454	3.153702066
MANBAL	4.56598887	3.599047696
MANCR	0.866963818	0.050950468
MANEA	1.510634515	1.926854445
MANEA-DT	0.479235842	0.614050928
MANEAL	1.363038581	2.023911291
MANF	3.792173204	3.886051769
MANSC1	1.367998357	1.138507623
MAOA	3.76705388	4.380946566
MAOB	5.124809849	2.676954904
MAP10	0.639674103	0.837603383
MAP1A	2.662647157	1.051496719
MAP1B	4.469001208	1.204676002
MAP1LC3A	4.695538766	3.13365808
MAP1LC3B	3.738338368	4.013858135
MAP1LC3B2	0.360911117	0.207448601
MAP1S	3.189014634	3.405105006
MAP2	0.549204338	0.084025206
MAP2K1	3.586509916	4.271822493
MAP2K2	4.400070618	4.042789917
MAP2K3	3.703740584	3.992221214
MAP2K4	2.599503229	2.877199861
MAP2K5	2.523723357	2.045532762
MAP2K5-DT	1.036471749	0.572084653
MAP2K6	0.561504341	0.694816554
MAP2K7	3.20302454	2.875447167
MAP3K1	1.816773821	2.454788092
MAP3K10	3.110943245	2.571457881
MAP3K11	3.086984872	2.974690599
MAP3K12	3.186960235	2.335507488
MAP3K13	1.727147624	1.710236956
MAP3K14	2.049707042	2.385567966
MAP3K14-AS1	1.443625259	1.557619001
MAP3K15	1.70119118	1.379716724
MAP3K2	2.587456415	3.02485551
MAP3K2-DT	1.198184821	0.435359094
MAP3K20	3.834632412	1.952166396
MAP3K20-AS1	1.332320808	1.045078047
MAP3K21	1.043600472	1.477558664
MAP3K3	3.242854879	3.215827593
MAP3K4	2.46876675	2.311109448
MAP3K4-AS1	1.142541216	0.807301541
MAP3K5	3.081861794	2.97012205
MAP3K6	3.737989579	2.995693957
MAP3K7	2.931850276	2.802014753
MAP3K7CL	1.937105854	1.475048589
MAP3K8	3.014965322	3.536714524
MAP3K9	0.642204638	0.982835946
MAP4	4.216326434	3.00121014
MAP4K1	1.800494242	2.136966458
MAP4K1-AS1	2.99157625	3.550424632
MAP4K2	2.498394599	2.194104076
MAP4K3	2.590913761	3.033074214
MAP4K3-DT	1.138912589	1.14268909
MAP4K4	2.928384333	2.457282989
MAP4K5	3.012331397	2.828763343
MAP6	3.285899198	0.246470717
MAP6D1	0.930179966	0.486292457
MAP7	2.296019591	2.710737832
MAP7D1	4.958292163	4.168547046
MAP7D2	0.990569397	0.1270957
MAP7D3	2.366586948	1.542012265
MAP9	1.771672086	1.340924133
MAPK1	3.867609925	4.084932812
MAPK10	1.545512004	0.57905407
MAPK11	2.759058799	1.84658119
MAPK12	1.771595056	0.322902381
MAPK13	1.955337595	3.920406207
MAPK14	2.987874674	3.266881292
MAPK15	1.802077781	1.205068201
MAPK1IP1L	3.395612059	3.225233754
MAPK3	4.181423295	3.626160943
MAPK4	2.437843684	0
MAPK6	2.572476927	3.568271017
MAPK7	4.065094644	2.625477518
MAPK8	2.030283753	2.433434459
MAPK8IP1	2.589124158	2.123249579
MAPK8IP2	0.649568112	0.765044847
MAPK8IP3	3.792609105	3.265222651
MAPK9	2.906917354	2.75377374
MAPKAP1	3.553805728	3.44237579
MAPKAPK2	4.413029281	4.450375868
MAPKAPK3	3.104575536	3.919680213
MAPKAPK5	1.860920753	1.923663813
MAPKAPK5-AS1	2.873749689	2.826201908
MAPKBP1	2.649062429	1.675591005
MAPRE1	5.088264151	4.892878723
MAPRE2	3.550078092	3.079932381
MAPRE3	2.987378735	2.007168397
MAPT	0.16214666	0.280910509
MARCHF1	0.837835922	2.746788653
MARCHF10	0.393274143	0
MARCHF2	4.288572164	4.227633172
MARCHF3	0.857797583	0.828766207
MARCHF5	2.780414282	3.360656443
MARCHF6	3.188719235	3.313616156
MARCHF7	3.54249473	3.639575533
MARCHF8	0.355380298	1.074588918
MARCHF9	3.135946715	2.968993613
MARCKS	4.591785159	5.313141277
MARCKSL1	3.770296646	4.039242737
MARCO	0.389284155	4.800665376
MARF1	1.31465036	2.0288779
MARK1	1.423984861	0.047345811
MARK2	2.062038775	2.558038422
MARK2P16	1.364444663	1.297865017
MARK3	2.340352466	2.249745437
MARK4	2.808624031	2.470074893
MARS1	3.593399428	3.501391016
MARS2	1.504324992	2.712988313
MARVELD1	4.919768721	3.702232363
MARVELD2	0.231007736	0.933647381
MARVELD3	1.247792788	1.882552
MASP1	2.992047654	0.316279713
MASP2	1.018438284	0.606485642
MAST1	0.441398591	1.196714241
MAST2	3.450895398	2.674462925
MAST3	2.748550305	2.134017234
MAST3-AS1	4.190481376	3.019898304
MAST4	2.172744338	2.878835424
MAST4-AS1	0.730828611	1.487691364
MASTL	1.708109598	2.491435234
MAT1A	0.376173523	0.039579201
MAT2A	4.838159901	4.692415818
MAT2B	3.273015239	3.591518323
MATK	0.89569981	3.354573932
MATN1	0.580810479	0.148979971
MATN1-AS1	0.825130963	0.707694913
MATN2	3.953729463	0.467960765
MATN3	1.452743764	1.006860745
MATN4	0.517940973	0
MATR3	0.514097475	0.471001929
MAU2	2.626188414	2.611441365
MAVS	3.095518745	2.844113124
MAX	3.414301048	3.183108059
MAZ	4.788461975	4.620047889
MB	0.420201677	0
MB21D2	2.285644011	1.685436697
MBD1	3.227955162	3.164209327
MBD2	3.455686055	3.704314281
MBD3	3.911616167	3.215743935
MBD4	3.200263664	3.379892403
MBD5	1.079380848	0.955633407
MBD6	3.623068068	3.180909475
MBIP	2.787228533	2.415809509
MBL1P	1.723211397	0
MBLAC1	2.667674257	0.994215928
MBLAC2	1.585909992	1.553670578
MBNL1	4.395880396	3.397102017
MBNL1-AS1	3.419906417	1.084908649
MBNL2	3.790979357	3.202725567
MBNL3	1.309127341	2.014190987
MBOAT1	2.998473108	2.319078245
MBOAT2	1.874493956	0.578117146
MBOAT7	2.740366083	2.905525143
MBP	0.763855832	2.27247679
MBTD1	1.849607468	2.151542026
MBTPS1	3.430775941	3.178395249
MBTPS2	1.694317827	2.064267376
MC1R	1.035562851	0.424233976
MCAM	5.074612582	2.611259278
MCAT	3.037150904	2.839027879
MCC	2.731857064	2.524774804
MCCC1	2.373629783	3.12929309
MCCC1-AS1	3.080998692	3.04975822
MCCC2	1.758759655	2.315911157
MCEE	3.011593562	2.069726826
MCEMP1	0.36392662	2.524640534
MCF2L	1.450125211	0.681741185
MCF2L-AS1	0.863292783	0.979112681
MCF2L2	1.520011492	0.953096188
MCFD2	3.453220974	3.659462213
MCIDAS	1.126290809	0
MCL1	5.330592187	5.733192063
MCM10	1.121748098	1.281713679
MCM2	2.537855954	2.888875636
MCM3	4.111906614	3.659030243
MCM3AP	3.212389469	3.107362076
MCM3AP-AS1	2.944589847	2.482044366
MCM4	3.066092957	3.139136808
MCM5	3.027556693	3.058333018
MCM6	3.315647082	3.370144889
MCM7	4.053386955	3.630418926
MCM8	1.183681687	1.085809354
MCM8-AS1	0.536075948	0.372565509
MCM9	1.246270033	1.706607522
MCMBP	3.395325541	3.561193132
MCMDC2	1.935203693	1.28300143
MCOLN1	2.839121072	3.566261942
MCOLN2	0.79542827	1.582665835
MCOLN3	0.321306768	1.207420645
MCPH1	1.524757394	1.454851994
MCPH1-AS1	0.19860598	0.091637083
MCRIP1	3.075403615	2.376436635
MCRIP2	3.083636529	3.412001866
MCRS1	4.044112212	3.406779238
MCTP1	0.854239195	1.98139024
MCTP2	0.897624164	1.418049632
MCTS1	1.633082798	1.685965497
MCU	2.777174923	2.570647168
MCUB	2.721264755	3.568228086
MCUR1	2.559203611	2.490170496
MDC1	1.708179315	0.816031523
MDC1-AS1	2.542778484	1.436767367
MDFI	3.111432442	1.878485717
MDFIC	3.163622144	3.975722144
MDGA1	1.539900879	0.232552294
MDH1	3.894293584	4.157408965
MDH1B	1.123005638	0.09743131
MDH2	4.778144101	4.567182601
MDK	4.341449866	5.936914343
MDM1	1.854014281	1.790147947
MDM2	2.975616991	3.720936478
MDM4	2.391644167	2.411057669
MDN1	1.860784656	1.825263916
ME1	3.5349953	2.7345395
ME2	1.952145986	2.766179359
ME3	2.84938438	2.105042971
MEA1	4.420996536	3.696916994
MEAF6	3.58908062	3.050937838
MEAK7	1.9889882	1.774345355
MECOM	2.171383352	2.648388883
MECP2	2.526412043	2.230838348
MECR	2.47808478	2.157573976
MED1	2.066990205	2.567202305
MED10	3.89847587	3.418440164
MED11	3.252847283	3.508356741
MED12	2.902617496	2.662237127
MED12L	0.591492706	0.327029685
MED13	2.363487139	2.867806425
MED13L	1.639823829	1.628516619
MED14	2.462237477	2.832574074
MED14OS	0.873156473	1.909940763
MED15	3.69411227	3.166112469
MED16	3.8340364	3.822256553
MED17	0.649762612	0.603356321
MED18	1.166995407	1.458682209
MED19	2.715716798	2.581393622
MED20	2.238617569	1.865685996
MED21	3.09978994	2.501465917
MED22	0.431565153	0.724252462
MED23	2.596170855	2.606359299
MED24	3.224285274	2.999744625
MED25	3.177127403	2.869897398
MED26	1.539897823	1.472342916
MED27	2.86553809	2.535351138
MED28	2.555918881	2.7210794
MED29	3.790108913	3.471121243
MED30	2.710806869	2.692284062
MED31	2.794487719	2.116440391
MED4	4.127146688	3.56945085
MED4-AS1	4.550184591	4.229542873
MED6	2.528531983	2.394032197
MED7	2.341180246	2.242775152
MED8	3.797213108	3.363851887
MED8-AS1	3.272268906	2.796029133
MED9	2.089757657	1.569925544
MEDAG	1.922139185	0.3270739
MEF2A	3.523507745	3.166668961
MEF2C	2.550633553	1.16384441
MEF2C-AS1	0.926150672	0.036926108
MEF2C-AS2	1.078472793	0.674679628
MEF2D	3.750484488	2.924875159
MEFV	0.028485094	0.879622364
MEG3	1.505533521	0.795966752
MEGF10	0	0
MEGF6	4.27039436	2.333507942
MEGF8	2.994212012	2.155900168
MEGF9	2.386178722	3.01872688
MEI1	0.827617608	1.259082178
MEIOC	0.795045934	1.13558278
MEIS1	3.278139994	1.076105943
MEIS1-AS2	1.92704639	0.154240497
MEIS2	3.31388478	1.060286683
MEIS3	3.268509534	1.386603201
MEIS3P1	2.762982525	2.200486095
MEIS3P2	1.31481326	0.601927909
MELK	2.354349288	2.412232964
MELTF	1.760894317	2.729641085
MELTF-AS1	2.9634274	3.260618263
MEMO1	0.836802848	0.928326764
MEN1	3.150906516	2.761010915
MEOX1	1.739305061	0.053844252
MEPCE	3.508161442	3.517454055
MERTK	2.245854061	3.869418247
MESD	2.741811936	3.057725185
MESP1	1.261608135	0.810418976
MEST	3.286236148	2.598500008
MESTIT1	0.701053065	0.358417179
MET	2.76279687	2.100098102
METAP1	3.461785574	3.557021766
METAP1D	1.890292879	1.441890021
METAP2	3.49217497	3.684729727
METRN	4.229206501	3.082438812
METRNL	2.602629696	2.077482977
METTL1	2.892910223	2.908137802
METTL14	2.178247888	2.153482489
METTL15	1.926075894	1.853520651
METTL16	2.723587965	2.189542602
METTL17	3.332056154	2.950539616
METTL18	2.568100183	2.629529121
METTL21A	1.385009035	1.579301734
METTL22	1.69125957	1.498913693
METTL23	3.160621468	2.842165505
METTL24	2.664935792	0.325934798
METTL25	1.474193993	1.580312978
METTL26	4.487901374	4.231490838
METTL27	1.473831371	1.267075244
METTL2A	1.938754602	2.192047107
METTL2B	2.456286675	1.905186926
METTL3	3.07397861	2.592800364
METTL4	1.472907369	1.460456411
METTL5	4.310731206	3.698715337
METTL6	1.708059065	1.660667369
METTL7A	4.362084297	4.559172593
METTL7B	2.325860754	2.518669492
METTL8	1.930784534	1.633685893
METTL9	2.590325816	2.526517852
MEX3A	0.958557176	2.408934018
MEX3B	1.539266954	1.969408206
MEX3C	2.328805459	2.671136293
MEX3D	3.37609622	3.965211971
MFAP1	3.423133703	3.550329973
MFAP2	4.181717413	1.638108322
MFAP3	1.737070161	2.236239633
MFAP3L	1.183362215	1.363742479
MFAP4	7.950437577	3.374853397
MFAP5	1.752482567	1.667365693
MFF	3.303630724	2.966542336
MFF-DT	0.586659652	0.659112743
MFGE8	5.361800181	3.186734218
MFHAS1	1.154518069	1.482304272
MFN1	2.731444353	2.836102872
MFN2	3.626969601	3.290059433
MFNG	2.133655455	3.824435594
MFSD1	3.174563069	4.681905078
MFSD10	4.983353255	4.327020523
MFSD11	3.672205455	4.17616434
MFSD12	3.782844175	4.606191869
MFSD13A	1.852934022	2.953119594
MFSD14A	0.479675313	1.032567551
MFSD14B	3.323889278	3.969600847
MFSD2A	1.833361808	1.807393504
MFSD3	3.552150991	3.754149385
MFSD4A	0.790362037	0.929370754
MFSD4B	1.143270162	1.277079885
MFSD5	3.324209387	3.659834856
MFSD6	2.541560515	3.155609297
MFSD6L	0.442310776	0.421706688
MFSD8	1.606807301	1.768928554
MFSD9	1.775075633	2.456403215
MGA	1.460930199	1.574517998
MGAM	0.155605981	0.994591016
MGAT1	3.609067869	5.040670999
MGAT2	3.58724219	3.836778249
MGAT3	0.584952383	1.559467981
MGAT4A	1.880531534	3.077729941
MGAT4B	3.548213758	4.170902137
MGAT5	2.51954423	3.212741074
MGAT5B	0.042407525	0.087926828
MGLL	3.812458191	3.514049216
MGME1	3.291253089	3.341140299
MGMT	2.922243625	2.589948031
MGP	8.334970611	3.384008741
MGRN1	3.148586265	3.030567445
MGST1	3.594059428	3.630141733
MGST2	3.53836747	3.322221501
MGST3	3.167107615	3.237527467
MHENCR	3.454414362	3.14248023
MIA2	1.67520662	2.100767349
MIA3	2.818415691	2.652043516
MIAT	0.365446221	1.252612509
MIATNB	0.665682463	0.666056763
MIB1	2.570539664	2.65418932
MIB2	3.605731343	3.002995602
MICA	1.866828093	1.744795277
MICAL1	4.424522351	3.90156573
MICAL2	3.146945933	1.531770906
MICAL3	1.304009343	0.976187476
MICALL1	3.184620709	3.370328114
MICALL2	3.297106243	2.083746649
MICB	0.048635517	0.819271282
MICOS10	1.867323466	0.795127396
MICOS13	4.648246231	3.687341599
MICU1	4.120665655	3.53835134
MICU2	2.979877988	3.142261663
MICU3	2.01244937	0.797929649
MID1	2.783116296	3.295278723
MID1IP1	3.691178681	3.163846635
MID1IP1-AS1	2.43223118	2.089587073
MID2	2.34142718	0.903686946
MIDEAS	1.981918071	1.906070315
MIDN	3.955426995	4.329430519
MIEF1	2.399926947	2.773700439
MIEF2	1.167336965	0.980709857
MIEN1	4.021148662	3.293063574
MIER1	2.707388627	2.671669648
MIER2	3.506089686	3.144512358
MIER3	2.131606132	2.502831473
MIF	5.293753465	5.544863097
MIF-AS1	7.020041449	6.876404364
MIF4GD	2.945679977	3.134520663
MIF4GD-DT	2.350551808	2.882509278
MIGA1	1.472351353	1.725511667
MIGA2	3.154315723	2.338501444
MIIP	3.217842514	3.115816056
MILR1	1.764319504	3.152767268
MINAR1	0	0
MINCR	1.998755823	1.582550422
MINDY1	2.765185712	2.690313048
MINDY2	2.596703549	2.467794128
MINDY3	3.061754882	2.449649598
MINDY4	0.946896773	0
MINK1	3.465481896	3.386747322
MINPP1	2.765238997	2.766658637
MIOS	1.975475637	2.618326728
MIOS-DT	1.764091376	1.384474774
MIOX	0.382438161	2.04819241
MIP	0.437908007	1.475305087
MIPEP	2.231524949	2.664482791
MIPEPP3	1.4264963	1.670630006
MIPOL1	0.967755841	0.353252159
MIR100HG	2.81320529	0.312326994
MIR1184-1	5.357912566	3.215160052
MIR1244-2	5.135653573	4.416362032
MIR1279	3.778111175	3.605188472
MIR1282	8.77760107	8.704153567
MIR155HG	0.942281301	1.997062434
MIR17HG	0.23003441	0.302150927
MIR181A2HG	1.900219521	0
MIR1915HG	1.54128531	0.435111302
MIR193BHG	1.243185076	0.178679381
MIR200CHG	2.357261774	2.615890736
MIR205	0	0
MIR2052HG	0	0.021411597
MIR205HG	3.300411709	2.526121449
MIR210HG	0.113471546	0
MIR222HG	2.074399768	1.189050182
MIR223HG	0.369680517	1.288641296
MIR22HG	0.558012966	0.987441672
MIR23AHG	0.117290704	0.288121507
MIR25	3.188043336	2.824305825
MIR29B2CHG	0.564069737	1.036671536
MIR302CHG	3.554489061	3.674400051
